tweet_text,Party,is_mentioned
thank erode : folded_hands_light_skin_tone :,NTK,0
thank erode : folded_hands_light_skin_tone :,TVK,1
நடிகனுக்கு ஜால்ரா அடித்து வாங்கும் பதவி என் மயிருக்கு சமம் ... @ annamalai_k தர்மம் காக்க ... அதர்மம் அழிக்க ... @ hindumunnani_tn @ elangovan_hm @ bjp4tamilnadu @ amarprasadreddy,ADMK,0
நடிகனுக்கு ஜால்ரா அடித்து வாங்கும் பதவி என் மயிருக்கு சமம் ... @ annamalai_k தர்மம் காக்க ... அதர்மம் அழிக்க ... @ hindumunnani_tn @ elangovan_hm @ bjp4tamilnadu @ amarprasadreddy,BJP,1
நடிகனுக்கு ஜால்ரா அடித்து வாங்கும் பதவி என் மயிருக்கு சமம் ... @ annamalai_k தர்மம் காக்க ... அதர்மம் அழிக்க ... @ hindumunnani_tn @ elangovan_hm @ bjp4tamilnadu @ amarprasadreddy,Congress,0
நடிகனுக்கு ஜால்ரா அடித்து வாங்கும் பதவி என் மயிருக்கு சமம் ... @ annamalai_k தர்மம் காக்க ... அதர்மம் அழிக்க ... @ hindumunnani_tn @ elangovan_hm @ bjp4tamilnadu @ amarprasadreddy,DMK,0
நடிகனுக்கு ஜால்ரா அடித்து வாங்கும் பதவி என் மயிருக்கு சமம் ... @ annamalai_k தர்மம் காக்க ... அதர்மம் அழிக்க ... @ hindumunnani_tn @ elangovan_hm @ bjp4tamilnadu @ amarprasadreddy,NTK,0
நடிகனுக்கு ஜால்ரா அடித்து வாங்கும் பதவி என் மயிருக்கு சமம் ... @ annamalai_k தர்மம் காக்க ... அதர்மம் அழிக்க ... @ hindumunnani_tn @ elangovan_hm @ bjp4tamilnadu @ amarprasadreddy,TVK,1
"hon'ble pm thiru . @ narendramodi , tamil nadu backbone india ’ export economy . punitive us tariffs hitting bedrock hard , disrupting production , orders livelihoods across industrial regions . urging immediate bilateral resolution protect tamil nadu ’ exporters india ’ global manufacturing strength .",ADMK,0
"hon'ble pm thiru . @ narendramodi , tamil nadu backbone india ’ export economy . punitive us tariffs hitting bedrock hard , disrupting production , orders livelihoods across industrial regions . urging immediate bilateral resolution protect tamil nadu ’ exporters india ’ global manufacturing strength .",BJP,1
"hon'ble pm thiru . @ narendramodi , tamil nadu backbone india ’ export economy . punitive us tariffs hitting bedrock hard , disrupting production , orders livelihoods across industrial regions . urging immediate bilateral resolution protect tamil nadu ’ exporters india ’ global manufacturing strength .",Congress,0
"hon'ble pm thiru . @ narendramodi , tamil nadu backbone india ’ export economy . punitive us tariffs hitting bedrock hard , disrupting production , orders livelihoods across industrial regions . urging immediate bilateral resolution protect tamil nadu ’ exporters india ’ global manufacturing strength .",DMK,0
"hon'ble pm thiru . @ narendramodi , tamil nadu backbone india ’ export economy . punitive us tariffs hitting bedrock hard , disrupting production , orders livelihoods across industrial regions . urging immediate bilateral resolution protect tamil nadu ’ exporters india ’ global manufacturing strength .",NTK,0
"hon'ble pm thiru . @ narendramodi , tamil nadu backbone india ’ export economy . punitive us tariffs hitting bedrock hard , disrupting production , orders livelihoods across industrial regions . urging immediate bilateral resolution protect tamil nadu ’ exporters india ’ global manufacturing strength .",TVK,0
நாம் தமிழர் பிள்ளைகள் சேலம் மாவட்டம் தரமான சம்பவம் : collision : :collision : இது தற்குறி கூட்டம் அல்ல இது தத்துவ கூட்டம்,ADMK,0
நாம் தமிழர் பிள்ளைகள் சேலம் மாவட்டம் தரமான சம்பவம் : collision : :collision : இது தற்குறி கூட்டம் அல்ல இது தத்துவ கூட்டம்,BJP,0
நாம் தமிழர் பிள்ளைகள் சேலம் மாவட்டம் தரமான சம்பவம் : collision : :collision : இது தற்குறி கூட்டம் அல்ல இது தத்துவ கூட்டம்,Congress,0
நாம் தமிழர் பிள்ளைகள் சேலம் மாவட்டம் தரமான சம்பவம் : collision : :collision : இது தற்குறி கூட்டம் அல்ல இது தத்துவ கூட்டம்,DMK,0
நாம் தமிழர் பிள்ளைகள் சேலம் மாவட்டம் தரமான சம்பவம் : collision : :collision : இது தற்குறி கூட்டம் அல்ல இது தத்துவ கூட்டம்,NTK,1
நாம் தமிழர் பிள்ளைகள் சேலம் மாவட்டம் தரமான சம்பவம் : collision : :collision : இது தற்குறி கூட்டம் அல்ல இது தத்துவ கூட்டம்,TVK,0
"என் நெஞ்சில் குடியிருக்கும் உங்கள் அனைவருக்கும் என் அன்பான வணக்கம் . எப்போதும் , என் வாழ்வின் ஒவ்வொரு நிலையிலும் நீங்கள் உடன் வருகிறீர்கள் . நீங்கள் காட்டும் எல்லையில்லா அன்பினாலும் ஆதரவினாலும் பெரும் உத்வேகம் அடைந்து வருகிறேன் . இந்த உத்வேகமே எனக்கு எப்போதும் மிகப் பெரிய உந்துசக்தியாக இருக்கிறது . எத்தனை அரசியல் கட்சிகள் , எத்தனை ஆண்டுக்காலம் நம்மை ஆண்டாலும் , வறுமையின் பிடியில் சிக்கியுள்ள என் அன்புக்கு உரியவர்களாகிய உங்களுக்கு ஒரு விடிவு காலம் கண்டிப்பாக வரவேண்டும் . ஏக்கத்திலேயே , கனவுகளிலேயே காலங்கள் கடந்து போய்விடக் கூடாது . எனவே தான் , வளர்த்து ஆளாக்கிய உங்களோடு இணைந்து உங்களுக்காக உழைக்கவே நாம் நம் அரசியல் பயணத்தைத் தொடங்கினோம் . அந்தப் பயணத்தில் , உங்களைச் சந்திப்பதற்கு நாம் புறப்பட்டதில் இருந்தே எவ்வளவோ தடைகள் தொடர்ந்து நமக்கு வந்தவண்ணம் இருந்தன . அவற்றில் உங்களுக்குத் தெரிந்தவை பல . உங்களுக்குத் தெரியாதவை பல . ஆனால் , அவற்றையெல்லாம் உங்களின் பேராதரவு மற்றும் தூய அன்பின் துணையோடு முறியடித்து வெற்றி அடைந்து வருகிறோம் . உங்களுடனான சந்திப்பைத் தொடர்ந்து நிகழ்த்தி வருகிறோம் . அந்த வகையில் இன்று மஞ்சள் மாநகரான ஈரோட்டில் நடைபெற்ற நமது சந்திப்பானது , வாழ்நாளில் இதுவரை இல்லாத வகையில் மிகுந்த மகிழ்ச்சியையும் நெகிழ்ச்சியையும் ஏற்படுத்தியது . இந்தச் சந்திப்பில் , அளப்பரிய அன்பும் ஆதரவும் அளித்த , என் நெஞ்சில் குடியிருக்கும் உங்கள் அனைவருக்கும் எவ்வளவு நன்றி சொன்னாலும் போதாது . இந்த நெகிழ்ச்சிமிகு சந்திப்பை , மிகப் பிரம்மாண்டமாகவும் மிகுந்த பாதுகாப்புடனும் மெச்சத் தகுந்த வகையிலும் ஏற்பாடு செய்திருந்த நம் கழகத்தின் நிர்வாகக் குழு ஒருங்கிணைப்பாளர் அண்ணன் திரு . கே.ஏ.செங்கோட்டையன் அவர்களுக்கும் , அவருக்கு உறுதுணையாக இருந்த நம் கழகப் பொதுச் செயலாளர் திரு . ஆனந்த் அவர்களுக்கும் , மாநில நிர்வாகிகளுக்கும் , ஈரோடு மாநகர் மாவட்டக் கழகச் செயலாளர் திரு . m.பாலாஜி ஈரோடு கிழக்கு மாவட்டக் கழகச் செயலாளர் திரு . m.வெங்கடேஷ் b.e. , mba , ஈரோடு மேற்கு மாவட்டக் கழகச் செயலாளர் திரு . a.பிரதீப்குமார் dce ஆகியோருக்கும் கழகத்தின் அனைத்து நிர்வாகிகளுக்கும் , தன்னார்வலர்களுக்கும் போக்குவரத்து மற்றும் பாதுகாப்பு உள்ளிட்டவற்றைச் சிறப்பாக ஏற்பாடு செய்திருந்த காவல் துறைக்கும் எனது மனமார்ந்த நன்றியினைத் தெரிவித்துக்கொள்கிறேன் . மீண்டும் சந்திப்போம் ! வெற்றி நிச்சயம் !",ADMK,0
"என் நெஞ்சில் குடியிருக்கும் உங்கள் அனைவருக்கும் என் அன்பான வணக்கம் . எப்போதும் , என் வாழ்வின் ஒவ்வொரு நிலையிலும் நீங்கள் உடன் வருகிறீர்கள் . நீங்கள் காட்டும் எல்லையில்லா அன்பினாலும் ஆதரவினாலும் பெரும் உத்வேகம் அடைந்து வருகிறேன் . இந்த உத்வேகமே எனக்கு எப்போதும் மிகப் பெரிய உந்துசக்தியாக இருக்கிறது . எத்தனை அரசியல் கட்சிகள் , எத்தனை ஆண்டுக்காலம் நம்மை ஆண்டாலும் , வறுமையின் பிடியில் சிக்கியுள்ள என் அன்புக்கு உரியவர்களாகிய உங்களுக்கு ஒரு விடிவு காலம் கண்டிப்பாக வரவேண்டும் . ஏக்கத்திலேயே , கனவுகளிலேயே காலங்கள் கடந்து போய்விடக் கூடாது . எனவே தான் , வளர்த்து ஆளாக்கிய உங்களோடு இணைந்து உங்களுக்காக உழைக்கவே நாம் நம் அரசியல் பயணத்தைத் தொடங்கினோம் . அந்தப் பயணத்தில் , உங்களைச் சந்திப்பதற்கு நாம் புறப்பட்டதில் இருந்தே எவ்வளவோ தடைகள் தொடர்ந்து நமக்கு வந்தவண்ணம் இருந்தன . அவற்றில் உங்களுக்குத் தெரிந்தவை பல . உங்களுக்குத் தெரியாதவை பல . ஆனால் , அவற்றையெல்லாம் உங்களின் பேராதரவு மற்றும் தூய அன்பின் துணையோடு முறியடித்து வெற்றி அடைந்து வருகிறோம் . உங்களுடனான சந்திப்பைத் தொடர்ந்து நிகழ்த்தி வருகிறோம் . அந்த வகையில் இன்று மஞ்சள் மாநகரான ஈரோட்டில் நடைபெற்ற நமது சந்திப்பானது , வாழ்நாளில் இதுவரை இல்லாத வகையில் மிகுந்த மகிழ்ச்சியையும் நெகிழ்ச்சியையும் ஏற்படுத்தியது . இந்தச் சந்திப்பில் , அளப்பரிய அன்பும் ஆதரவும் அளித்த , என் நெஞ்சில் குடியிருக்கும் உங்கள் அனைவருக்கும் எவ்வளவு நன்றி சொன்னாலும் போதாது . இந்த நெகிழ்ச்சிமிகு சந்திப்பை , மிகப் பிரம்மாண்டமாகவும் மிகுந்த பாதுகாப்புடனும் மெச்சத் தகுந்த வகையிலும் ஏற்பாடு செய்திருந்த நம் கழகத்தின் நிர்வாகக் குழு ஒருங்கிணைப்பாளர் அண்ணன் திரு . கே.ஏ.செங்கோட்டையன் அவர்களுக்கும் , அவருக்கு உறுதுணையாக இருந்த நம் கழகப் பொதுச் செயலாளர் திரு . ஆனந்த் அவர்களுக்கும் , மாநில நிர்வாகிகளுக்கும் , ஈரோடு மாநகர் மாவட்டக் கழகச் செயலாளர் திரு . m.பாலாஜி ஈரோடு கிழக்கு மாவட்டக் கழகச் செயலாளர் திரு . m.வெங்கடேஷ் b.e. , mba , ஈரோடு மேற்கு மாவட்டக் கழகச் செயலாளர் திரு . a.பிரதீப்குமார் dce ஆகியோருக்கும் கழகத்தின் அனைத்து நிர்வாகிகளுக்கும் , தன்னார்வலர்களுக்கும் போக்குவரத்து மற்றும் பாதுகாப்பு உள்ளிட்டவற்றைச் சிறப்பாக ஏற்பாடு செய்திருந்த காவல் துறைக்கும் எனது மனமார்ந்த நன்றியினைத் தெரிவித்துக்கொள்கிறேன் . மீண்டும் சந்திப்போம் ! வெற்றி நிச்சயம் !",BJP,0
"என் நெஞ்சில் குடியிருக்கும் உங்கள் அனைவருக்கும் என் அன்பான வணக்கம் . எப்போதும் , என் வாழ்வின் ஒவ்வொரு நிலையிலும் நீங்கள் உடன் வருகிறீர்கள் . நீங்கள் காட்டும் எல்லையில்லா அன்பினாலும் ஆதரவினாலும் பெரும் உத்வேகம் அடைந்து வருகிறேன் . இந்த உத்வேகமே எனக்கு எப்போதும் மிகப் பெரிய உந்துசக்தியாக இருக்கிறது . எத்தனை அரசியல் கட்சிகள் , எத்தனை ஆண்டுக்காலம் நம்மை ஆண்டாலும் , வறுமையின் பிடியில் சிக்கியுள்ள என் அன்புக்கு உரியவர்களாகிய உங்களுக்கு ஒரு விடிவு காலம் கண்டிப்பாக வரவேண்டும் . ஏக்கத்திலேயே , கனவுகளிலேயே காலங்கள் கடந்து போய்விடக் கூடாது . எனவே தான் , வளர்த்து ஆளாக்கிய உங்களோடு இணைந்து உங்களுக்காக உழைக்கவே நாம் நம் அரசியல் பயணத்தைத் தொடங்கினோம் . அந்தப் பயணத்தில் , உங்களைச் சந்திப்பதற்கு நாம் புறப்பட்டதில் இருந்தே எவ்வளவோ தடைகள் தொடர்ந்து நமக்கு வந்தவண்ணம் இருந்தன . அவற்றில் உங்களுக்குத் தெரிந்தவை பல . உங்களுக்குத் தெரியாதவை பல . ஆனால் , அவற்றையெல்லாம் உங்களின் பேராதரவு மற்றும் தூய அன்பின் துணையோடு முறியடித்து வெற்றி அடைந்து வருகிறோம் . உங்களுடனான சந்திப்பைத் தொடர்ந்து நிகழ்த்தி வருகிறோம் . அந்த வகையில் இன்று மஞ்சள் மாநகரான ஈரோட்டில் நடைபெற்ற நமது சந்திப்பானது , வாழ்நாளில் இதுவரை இல்லாத வகையில் மிகுந்த மகிழ்ச்சியையும் நெகிழ்ச்சியையும் ஏற்படுத்தியது . இந்தச் சந்திப்பில் , அளப்பரிய அன்பும் ஆதரவும் அளித்த , என் நெஞ்சில் குடியிருக்கும் உங்கள் அனைவருக்கும் எவ்வளவு நன்றி சொன்னாலும் போதாது . இந்த நெகிழ்ச்சிமிகு சந்திப்பை , மிகப் பிரம்மாண்டமாகவும் மிகுந்த பாதுகாப்புடனும் மெச்சத் தகுந்த வகையிலும் ஏற்பாடு செய்திருந்த நம் கழகத்தின் நிர்வாகக் குழு ஒருங்கிணைப்பாளர் அண்ணன் திரு . கே.ஏ.செங்கோட்டையன் அவர்களுக்கும் , அவருக்கு உறுதுணையாக இருந்த நம் கழகப் பொதுச் செயலாளர் திரு . ஆனந்த் அவர்களுக்கும் , மாநில நிர்வாகிகளுக்கும் , ஈரோடு மாநகர் மாவட்டக் கழகச் செயலாளர் திரு . m.பாலாஜி ஈரோடு கிழக்கு மாவட்டக் கழகச் செயலாளர் திரு . m.வெங்கடேஷ் b.e. , mba , ஈரோடு மேற்கு மாவட்டக் கழகச் செயலாளர் திரு . a.பிரதீப்குமார் dce ஆகியோருக்கும் கழகத்தின் அனைத்து நிர்வாகிகளுக்கும் , தன்னார்வலர்களுக்கும் போக்குவரத்து மற்றும் பாதுகாப்பு உள்ளிட்டவற்றைச் சிறப்பாக ஏற்பாடு செய்திருந்த காவல் துறைக்கும் எனது மனமார்ந்த நன்றியினைத் தெரிவித்துக்கொள்கிறேன் . மீண்டும் சந்திப்போம் ! வெற்றி நிச்சயம் !",Congress,0
