"annotation_id","annotator","created_at","favorite_count","followers_count","following_count","full_text","hashtags","id","is_blue_verified","is_news","is_political","is_quote","lang","lead_time","link","overall_sentiment","party_list","place","possibly_sensitive","quote_count","reply_count","retweet_count","sarcasm_check","screen_name","stance_admk","stance_bjp","stance_congress","stance_dmk","stance_ntk","stance_tvk","total_tweets_by_user","tweet_id","updated_at","urls","user_desc","user_id","user_location","user_name","user_verified","view_count"
21,"6","2026-01-20T14:49:20.568046Z",1041,662219,2,"ஏழை எளிய மாணவர்களுக்கும் அறிவுப்பூர்வமான கல்வி கிடைப்பதை உறுதி செய்த திட்டம், மாண்புமிகு அம்மா அரசின் விலையில்லா மடிக்கணினி திட்டம்.

அரசுப்பள்ளிகள், அரசுக் கல்லூரிகளைச் சார்ந்த மாணவர்களின் Career Guide-ஆக, Life Shaping Device-ஆக, கல்விக்கான ஆயுதமாக இருந்த மடிக்கணினியை, மாண்புமிகு அம்மா அவர்கள் வழியில் தொடர்ந்து வழங்கி வந்தது எனது தலைமையிலான @AIADMKOfficial அரசு.

இந்த மடிக்கணினிகளால் பயனடைந்த இளைஞர்களை இன்றைய தினம் சந்தித்து, #PricelessScheme_AmmaLaptop தங்கள் வாழ்வில் ஏற்படுத்திய பெரும் மாற்றத்தினைக் கேட்டு அகமகிழ்ந்தேன்.

அதே சமயம், தற்போதைய அரசுப்பள்ளி மாணவர்களும், இன்றைய விடியா திமுக ஆட்சியில் லேப்டாப் கிடைக்காமல், விஞ்ஞானக் கல்வி கிடைப்பது தடைபட்டு, தாங்கள் வஞ்சிக்கப்படுவதை, தங்கள் உள்ளக் குமுறலை வெளிப்படுத்தினார்கள்.

ஸ்டாலின் மாடல் அரசு, நான்கரை ஆண்டுகளாக லேப்டாப் வழங்காமல், தற்போது தேர்தல் வரப்போகிறது எனத் தெரிந்ததும், ஒரு நாடகத்தை அரங்கேற்றத் தயாராகி விட்டார் இன்றைய பொம்மை முதலமைச்சர்.

அரைகுறை ஆயிரம் ரூபாய் போலவே, இதுவும், சம்மந்தமே இல்லாமல், கல்வி ஆண்டின் நடுவில், கடைசி ஆண்டு மாணவர்களுக்கு மட்டும் வழங்குவதன் காரணம் என்ன? ஏன் அரசுப்பள்ளி மாணவர்களுக்கு லேப்டாப் வழங்கவில்லை?

இன்றைய AI காலத்தில் வளர்ந்து வரும் தொழில்நுட்பத்திற்கு தகவமைத்துக் கொள்ளும் அளவிற்கு இவர்கள் தரும் லேப்டாப் இருக்கிறதா? என்றால் அதுவும் இல்லை.

பொம்மை முதல்வரைப் போன்றே பொம்மை லேப்டாப் கொடுத்து மாணவர்களை ஏமாற்றப் பார்க்கிறதா ஸ்டாலின் மாடல் அரசு?

Election Eyewash-க்காக லேப்டாப் கொடுப்பது போல Drama நடத்தும் உங்களுக்கும்,
Education Elevation-க்காக தொடர்ந்து லேப்டாப் கொடுத்த எங்களுக்கும் நிறைய வித்தியாசம் இருக்கிறது திரு. @mkstalin அவர்களே!

#WhereIsOurLaptop என்று நான் கேட்கவில்லை; உங்களால் நான்கரை ஆண்டுகாலமாக வஞ்சிக்கப்பட்ட அரசுப்பள்ளி மாணவர்கள் கேட்கிறார்கள். 

உரிய , முறையான பதில் வருமா 
திரு. ஸ்டாலின் அவர்களே?","['PricelessScheme_AmmaLaptop', 'WhereIsOurLaptop']",11,True,"No","Yes",False,"ta",112.197,"<a href=""https://x.com/twitter/status/2001267285739352481"" target=""_blank"">Tweet Link</a>","Negative","{""choices"":[""DMK"",""ADMK""]}","",False,58,192,623,"No","EPSTamilNadu","Pro-party","","","Anti-party","","",3845,2001267285739352481,"2026-01-20T14:49:20.568078Z","[]","Leader of Opposition - Tamilnadu Legislative Assembly | General Secretary - AIADMK | Former Chief Minister - Tamilnadu",973935385557413889,"Tamil Nadu, India","Edappadi K Palaniswami-SayYEStoWomenSafety&AIADMK",False,14384
22,"6","2026-01-20T14:50:35.127522Z",5797,71945,8,"ஆக மொத்தத்துல யார் பொது கூட்டம் நடத்தினாலும் அது அரசியல் கூட்டம் 

தவெக பொது கூட்டம் நடத்தினால் அது குடும்ப நிகழ்வு மாதிரி ஆயிடுது👌🏻👌🏻👌🏻 <a href=""https://t.co/onaYHpBa75"">https://t.co/onaYHpBa75</a>","[]",12,True,"No","Yes",False,"ta",73.276,"<a href=""https://x.com/twitter/status/2001299164282372556"" target=""_blank"">Tweet Link</a>","Negative","TVK","",False,13,17,1320,"Yes","TVK_WORLD","","","","","","Pro-party",7362,2001299164282372556,"2026-01-20T14:50:35.127547Z","[]","#தமிழகவெற்றிக்கழகம்  maintaining by @official_Tvmp Team | Admin - @IM_Back2026",875024842814242816,"India","TVK WORLD",False,32521
23,"6","2026-01-20T14:53:26.031433Z",387,31558,4442,"இது வெறும் தவெக அருனுக்கு மட்டமான மெசேஜ் இல்ல சுயநலம் பிடித்த திராவிட பாஜகவுக்கும், டயர் திராவிடியாக்களுக்கும் சேர்த்து தான் இந்த மெசேஜ் 🔥🔥🔥

@annamalai_k #Annamalai 🧡 <a href=""https://t.co/iQsHFbP7QD"">https://t.co/iQsHFbP7QD</a>","['Annamalai']",13,True,"No","Yes",False,"ta",169.615,"<a href=""https://x.com/twitter/status/2001523656795787557"" target=""_blank"">Tweet Link</a>","Negative","{""choices"":[""DMK"",""ADMK"",""TVK"",""BJP""]}","",False,1,5,104,"No","Johni_raja","Anti-party","Anti-party","","Anti-party","","Anti-party",243884,2001523656795787557,"2026-01-20T14:53:26.031463Z","[]","Follower of Guru NAMO Ji,Proud Hindu, Ayyappa Swamy Devotee,Extreme Patriot,Proud Member Of RSS,Def Enthusiast,Anti DMK",90805156,"தொண்டை நாடு/வேலூர், Las Vegas ","Johny Bhai(அண்ணாமலையின் வார் ரூம்)🇮🇳",False,2602
24,"6","2026-01-20T14:54:19.828674Z",3896,1110218,0,"ஈரோடு தவெக பொதுக்கூட்டத்துக்கு காந்தி வேடத்தில் வந்த நபர்

#TVKVijay #Erode #TVK <a href=""https://t.co/4XXFi8SvCR"">https://t.co/4XXFi8SvCR</a>","['TVKVijay', 'Erode', 'TVK']",14,True,"Yes","Yes",False,"ta",51.768,"<a href=""https://x.com/twitter/status/2001548466389160489"" target=""_blank"">Tweet Link</a>","Neutral","TVK","",False,15,22,1057,"No","bbctamil","","","","","","Neutral",107375,2001548466389160489,"2026-01-20T14:54:19.828698Z","[]","பிபிசி உலக சேவையின் தமிழ்ப்பிரிவே பிபிசி தமிழ். இது, பிபிசிக்காக கலெக்டிவ் நியூஸ்ரூம் வெளியீடு",23763445,"India","BBC News Tamil",False,32549
25,"6","2026-01-20T14:54:54.371954Z",539,110971,312,"தற்குறிகளுக்கு மட்டுமே எளிய மக்களின் வெற்றி டிராமாவா தெரியும்! 🤦‍♂️

#DMK4TN <a href=""https://t.co/CpnWYpozKG"">https://t.co/CpnWYpozKG</a>","['DMK4TN']",15,True,"No","Yes",False,"ta",33.307,"<a href=""https://x.com/twitter/status/2001580141345202276"" target=""_blank"">Tweet Link</a>","Negative","DMK","",False,5,4,265,"No","DMK4TN","","","","Pro-party","","",38451,2001580141345202276,"2026-01-20T14:54:54.371973Z","[]","திமுக ஓர் அரசியல் இயக்கம் மட்டுமல்ல; திராவிட கொள்கைகளுக்காக - தமிழக மக்களுக்காக போராடும் இயக்கம்!",2898216534,"","#DMK4TN",False,4243
26,"6","2026-01-20T14:55:31.681790Z",176,11779,1547,"இன்று திருப்பூர் மாவட்டம் இடுவாய் மக்களுக்காக போராடிய @annamalai_k அண்ணா அவர்களை கைது செய்துள்ளது விடியா திமுக அரசு🤬

#Annamalai |#DMKFailsTN |#NoVoteToEDMK <a href=""https://t.co/Zgp2pwxRB3"">https://t.co/Zgp2pwxRB3</a>","['Annamalai', 'DMKFailsTN', 'NoVoteToEDMK']",16,True,"No","Yes",False,"ta",35.966,"<a href=""https://x.com/twitter/status/2001609952620937530"" target=""_blank"">Tweet Link</a>","Negative","{""choices"":[""DMK"",""BJP""]}","",False,1,3,83,"No","Agmarksanghi","","Pro-party","","Anti-party","","",221146,2001609952620937530,"2026-01-20T14:55:31.681812Z","[]","Annamalai Anna Fan Boy 🦁| Bike Rider 🏍️ |

Social Media Reporter 🧑‍🎤 |

Always Happy Person 🤸🤸‍♂️",1677921058073247744,"Tamilnadu, INDIA🇮🇳","நாட்டாமை ⚖️(WarRoom Commander 😎 )",False,2201
27,"6","2026-01-20T14:55:46.905355Z",57,510690,1,"#Live அனைத்திந்திய அண்ணா திராவிட முன்னேற்றக் கழகத்தின் சார்பில் கிறிஸ்துமஸ் பெருவிழா <a href=""https://t.co/5JZxJpDxcF"">https://t.co/5JZxJpDxcF</a>","['Live']",17,True,"No","No",False,"ta",14.031,"<a href=""https://x.com/twitter/status/2001635519319744869"" target=""_blank"">Tweet Link</a>","","","",False,3,3,34,"","AIADMKOfficial","","","","","","",12724,2001635519319744869,"2026-01-20T14:55:46.905377Z","['https://x.com/i/broadcasts/1nAKEEzmnkkKL']","Official Twitter page of AIADMK",2330285072,"Tamilnadu","AIADMK - SayYesToWomenSafety&AIADMK",False,536
28,"6","2026-01-20T14:56:12.947733Z",3001,56191,3,"மங்கலம் பொங்கும் மஞ்சள் மாநகரான ஈரோட்டில், நம் வெற்றித் தலைவர் அவர்கள்... <a href=""https://t.co/DIid6UQho1"">https://t.co/DIid6UQho1</a>","[]",18,True,"No","Yes",False,"ta",24.224,"<a href=""https://x.com/twitter/status/2001616188921778318"" target=""_blank"">Tweet Link</a>","Positive","TVK","",False,5,17,969,"No","TVKPartyHQ","","","","","","Pro-party",409,2001616188921778318,"2026-01-20T14:56:12.947758Z","[]","தமிழக வெற்றிக் கழகம் - அதிகாரப்பூர்வ அறிவிப்புகள்

Tamilaga Vettri Kazhagam - Official Announcements",1754106652066979840,"","TVK Party HQ",False,20001
29,"6","2026-01-20T14:56:37.110895Z",314,110971,312,"தி.மு.க.வை அழித்துவிடுவேன் என வந்தவர்கள் அழிந்து போயிருக்கிறார்களே தவிர தி.மு.க இன்னும் அதே கொள்கை உரத்தோடு, வலுவோடு தான் இருக்கிறது; என்றும் இருக்கும்! 💥

#DMK4TN <a href=""https://t.co/soUj6regyX"">https://t.co/soUj6regyX</a>","['DMK4TN']",19,True,"No","Yes",False,"ta",22.684,"<a href=""https://x.com/twitter/status/2001588742793171050"" target=""_blank"">Tweet Link</a>","Positive","DMK","",False,7,12,146,"No","DMK4TN","","","","Pro-party","","",38451,2001588742793171050,"2026-01-20T14:56:37.110917Z","[]","திமுக ஓர் அரசியல் இயக்கம் மட்டுமல்ல; திராவிட கொள்கைகளுக்காக - தமிழக மக்களுக்காக போராடும் இயக்கம்!",2898216534,"","#DMK4TN",False,3554
30,"6","2026-01-20T14:57:39.156791Z",576,159570,40,"தமிழகத்தில் கிட்டத்தட்ட ஆண்டுதோறும் 3,70,000 அரசு பள்ளி மாணவர்கள் பன்னிரண்டாம் வகுப்பு படிக்கின்றனர். ஆனால், அதில் வெறும் சொற்ப எண்ணிக்கையில் தான் மருத்துவ படிப்புக்கு தேர்வாகின்றனர்.

இந்நிலையை போக்க வேண்டும் என்பதற்காக எந்த எதிர்க்கட்சிகளும் கோரிக்கை வைக்காமல், அரசு பள்ளி மாணவர்களுக்கு மருத்துவ படிப்பில் 7.5% உள் இட ஒதுக்கீடு பல்வேறு சட்டப் போராட்டங்களை தாண்டி நிறைவேற்றி காட்டி சாதனை படைத்தது அம்மாவின் அரசு. இதன் மூலம் ஆண்டுக்கு சராசரியாக 600 அரசு பள்ளி மாணவர்கள் மருத்துவ படிப்புக்கு தேர்வாகின்றனர்.

மாண்புமிகு கழகப் பொதுச் செயலாளர், புரட்சித் தமிழர்,
@EPSTamilNadu அவர்கள்.

#EPSfor2026
#WhereIsOurLaptop","['EPSfor2026', 'WhereIsOurLaptop']",20,True,"No","Yes",False,"ta",60.247,"<a href=""https://x.com/twitter/status/2001477190156980643"" target=""_blank"">Tweet Link</a>","Positive","{""choices"":[""DMK"",""ADMK""]}","",False,25,39,303,"No","AIADMKITWINGOFL","Pro-party","","","Anti-party","","",22220,2001477190156980643,"2026-01-20T14:57:39.156822Z","[]","Official Twitter page of AIADMK IT Wing. News and updates from AIADMK.",923849866861715456,"Chennai, India","AIADMK IT WING - SayYesToWomenSafety&AIADMK",False,5106
31,"6","2026-01-20T14:58:16.643213Z",4473,131989,1428,"I am a Hindu and I do not support DMK. 

Repost if you agree !!! <a href=""https://t.co/6Bj9CWEPdF"">https://t.co/6Bj9CWEPdF</a>","[]",21,True,"No","Yes",False,"en",36.183,"<a href=""https://x.com/twitter/status/2001309124022370353"" target=""_blank"">Tweet Link</a>","Neutral","DMK","",False,37,130,2300,"No","Hinduism_sci","","","","Anti-party","","",9174,2001309124022370353,"2026-01-20T14:58:16.643235Z","[]","प्रज्ञानम् ब्रह्म Turn on notifications 🔔 must | Contact ✉️ - Hinduismandscience1008@gmail.com",1260886399089336322,"India","Hinduism_and_Science",False,31795
32,"6","2026-01-20T14:59:25.193188Z",1253,54798,2,"அசிங்கமா பேசுற அரசியல் நல்லாவே வரும்! - நடிகர் விஜய்  |
#TVKMeeting #vijayspeech #tnpolitics #erode #vijay #tvkfails #Saattai #tvktroll <a href=""https://t.co/BzQjmrlCSe"">https://t.co/BzQjmrlCSe</a>","['TVKMeeting', 'vijayspeech', 'tnpolitics', 'erode', 'vijay', 'tvkfails', 'Saattai', 'tvktroll']",22,False,"No","Yes",False,"ta",66.739,"<a href=""https://x.com/twitter/status/2001565590989971725"" target=""_blank"">Tweet Link</a>","Negative","TVK","",False,10,75,452,"Yes","SaattaiOnline","","","","","","Anti-party",7957,2001565590989971725,"2026-01-20T14:59:25.193211Z","[]","சாட்டை - அநீதிகளுக்கு எதிராக சுழற்றுவோம்",1039199571988033536,"","Saattai",False,21852
